time,groupName,eventName,duration,eventURL,rsvpLimit,yesRSVPCount,city
2017-04-25T08:30:00-07:00,IBM Bay Area Developer & Startup Meetup,Analytics Comes to You – Transforming and Expanding Your Business,8h30m0s,https://www.meetup.com/IBM-Bay-Area-Developer-Startup-Meetup/events/239439245/,0,8,SF
2017-04-25T09:00:00-07:00,SF Data Engineering,DataEngConf SF '17 (paid event w/ discount),80h0m0s,https://www.meetup.com/SF-Data-Engineering/events/237412220/,0,10,SF
2017-04-25T09:00:00-07:00,East Bay Start Ups + Techies,Open House & FREE Coworking Day at NEW Port Workspaces,9h0m0s,https://www.meetup.com/East-Bay-Start-Ups-Techies/events/239218945/,0,11,SF
2017-04-25T11:30:00-07:00,San Francisco VMware User Group (SFvmug),Let's Meetup and learn about New Solutions to Perennial Storage Problems,0s,https://www.meetup.com/SFVMUG/events/239029510/,0,30,SF
2017-04-25T17:30:00-07:00,SF Founder Club,"Startup Tea Talk - Walter Brouwer, Doc.AI Scanadu, Sunil Kurkure, Intel Capital",0s,https://www.meetup.com/Founder/events/238234024/,0,15,SF
2017-04-25T18:00:00-07:00,San Francisco Internet of Things Meetup (@SFIoTMeetup),The Future of Cellular IoT,2h0m0s,https://www.meetup.com/The-San-Francisco-Internet-of-Things-Meetup/events/239177991/,0,181,SF
2017-04-25T18:00:00-07:00,Big Data Developers in San Francisco,Data Science Experience w/ IBM Watson & Keen IO,2h0m0s,https://www.meetup.com/big-data-developers-in-san-francisco/events/239309053/,0,8,SF
2017-04-25T18:00:00-07:00,San Francisco Kagglers,Using Deep Learning for Satellite Imagery Feature Detection Challenge,2h0m0s,https://www.meetup.com/San-Francisco-Kagglers/events/239113801/,100,77,SF
2017-04-25T18:00:00-07:00,San Francisco Product Marketing Meetup,Messaging that Wins - Product Marketing Panel,2h0m0s,https://www.meetup.com/Product-Marketing/events/237569600/,187,187,SF
2017-04-25T18:00:00-07:00,SF DevOps for Startups,How to Build in China and Leveraging Docker in Unique Build Systems!,2h0m0s,https://www.meetup.com/SF-DevOps-for-Startups/events/238642366/,0,47,SF
2017-04-25T18:00:00-07:00,Gateway to Agile (Bay Area),"RSVP, Limited Seats for Taste of XP (TDD and BDD)",2h30m0s,https://www.meetup.com/Gateway-to-Agile-Bay-Area/events/238959746/,70,49,SF
2017-04-25T18:00:00-07:00,Women in IoT,IoT Dev Experiences w/Hanan & Aaron: Smart Diaper Project hosted by Neustar,2h0m0s,https://www.meetup.com/womeniniot/events/239280561/,100,11,SF
2017-04-25T18:00:00-07:00,Angular-SF,Progressive from the Start,1h30m0s,https://www.meetup.com/Angular-SF/events/239115194/,60,64,SF
2017-04-25T18:00:00-07:00,Learn to Code San Francisco,How to Find a Career in Tech: Resume Workshop,2h0m0s,https://www.meetup.com/learn-to-code-san-francisco/events/239316337/,0,24,SF
2017-04-25T18:00:00-07:00,The San Francisco Android User Group,Advanced RxJava through concrete Android examples,2h15m0s,https://www.meetup.com/sfandroid/events/237910039/,300,299,SF
2017-04-25T18:00:00-07:00,Big Data Developers,Data Science Experience w/ IBM Watson & Keen IO,2h0m0s,https://www.meetup.com/BigDataDevelopers/events/239309158/,0,19,SF
2017-04-25T18:00:00-07:00,Code Your Face Off,Debugging HTTP API's Workshop,0s,https://www.meetup.com/meetup-code-your-face-off/events/238789675/,0,23,SF
2017-04-25T18:00:00-07:00,"OpenSMC, a Code for America Brigade for San Mateo County",OpenSMC Weekly Civic Hack Night,2h30m0s,https://www.meetup.com/opensmc/events/239338329/,0,7,SF
2017-04-25T18:00:00-07:00,JavaScript in the SF East Bay,Angular vs ReactJS: Getting Started,2h30m0s,https://www.meetup.com/eastbayjavascript/events/239136470/,80,80,SF
2017-04-25T18:30:00-07:00,San Francisco Selenium Meetup Group,Gap Analysis (aka the Death of E2Es),0s,https://www.meetup.com/seleniumsanfrancisco/events/238936596/,0,123,SF
2017-04-25T18:30:00-07:00,OpenOakland: The Code for America Brigade in Oakland,OpenOakland Tech Equity Week Special Presentation,2h30m0s,https://www.meetup.com/OpenOakland/events/239143872/,0,8,SF
2017-04-25T19:00:00-07:00,"VFX Technology: Film, Animation, VR, Video","Cinematic VR & Film Recruiter Tech Panel - ILMxLab, Pixar, Lytro",2h0m0s,https://www.meetup.com/vfxtech/events/239010260/,0,31,SF
2017-04-26T07:30:00-07:00,Virtual IoT,IoT Developer Trends - 2017 Edition,0s,https://www.meetup.com/Virtual-IoT/events/239299887/,0,98,SF
2017-04-26T08:00:00-07:00,OpenAI San Francisco,ONLINE WEBINAR: Text Prediction Using Recurrent Neural Networks with TensorFlow,1h0m0s,https://www.meetup.com/OpenAI-San-Francisco/events/239157367/,1,1,SF
2017-04-26T08:00:00-07:00,TensorFlow San Francisco,ONLINE WEBINAR: Text Prediction Using Recurrent Neural Networks with TensorFlow,1h0m0s,https://www.meetup.com/TensorFlow-San-Francisco/events/239157314/,1,1,SF
2017-04-26T08:30:00-07:00,Advanced Spark and TensorFlow Meetup,DataEngConf SF - Apr 26-28 2017 - 40 Speakers!! - Mission Bay Conference Center,45h30m0s,https://www.meetup.com/Advanced-Spark-and-TensorFlow-Meetup/events/238370757/,0,59,SF
2017-04-26T09:00:00-07:00,Docker Online Meetup,DockerCon 2017 Recap: Highlights and Announcements!,1h0m0s,https://www.meetup.com/Docker-Online-Meetup/events/239286321/,0,510,SF
2017-04-26T09:00:00-07:00,GoSF,[Outside Event] DataEngConf - Special Offer,55h0m0s,https://www.meetup.com/golangsf/events/238968657/,1,1,SF
2017-04-26T10:00:00-07:00,"Big Data (native Hadoop) Ingest & Transform, SF Chapter",Intro to Big Data AppHub: Kinesis to S3 & S3 to HDFS Sync App Templates,2h0m0s,https://www.meetup.com/Big-Data-Ingest-SF/events/239360858/,0,7,SF
2017-04-26T10:00:00-07:00,SF Bay Crowdfunders,Programming Study Session - Work on Your Project,3h0m0s,https://www.meetup.com/sfbaycrowdfunders/events/239362462/,20,3,SF
2017-04-26T10:00:00-07:00,"Big Data (native Hadoop) Ingest & Transform, San Ramon",Intro to Big Data AppHub: Kinesis to S3 & S3 to HDFS Sync App Templates,2h0m0s,https://www.meetup.com/Big-Data-Ingest-San-Ramon/events/239360870/,0,4,SF
2017-04-26T17:30:00-07:00,Sales Mastership,Sales Mastership: The Best Practices for Prospecting and Winning,0s,https://www.meetup.com/Sales-Mastership/events/238689619/,60,12,SF
2017-04-26T17:30:00-07:00,The Android Makers,Android Lightning Talks,3h30m0s,https://www.meetup.com/AndroidMakers/events/238160638/,99,5,SF
2017-04-26T18:00:00-07:00,AWS San Francisco | Official Events,Connecting Your Devices through AWS IoT,2h0m0s,https://www.meetup.com/AWS-SANFRANCISCO/events/238959155/,0,116,SF
2017-04-26T18:00:00-07:00,Secure Internet of Things Academy,"Talk IoT, network and socialize",2h0m0s,https://www.meetup.com/Secure-Internet-of-Things-Academy/events/239394926/,0,10,SF
2017-04-26T18:00:00-07:00,Code for San Francisco - Civic Hack Night,Weekly Civic Hack Night,3h30m0s,https://www.meetup.com/Code-for-San-Francisco-Civic-Hack-Night/events/238967430/,0,20,SF
2017-04-26T18:00:00-07:00,Bay Area Salesforce Developer Group,Women in Technology with Sandy Kurtzig & Leyla Seka,2h30m0s,https://www.meetup.com/ForceDotCom/events/238800651/,300,283,SF
2017-04-26T18:30:00-07:00,Hayward Techies & Makers,Let's Talk Tech,2h0m0s,https://www.meetup.com/Hayward-Techies/events/239375487/,0,5,SF
2017-04-26T19:00:00-07:00,The San Francisco WordPress Meetup,"Speed Geek: Extending WordPress, Theming and More!",0s,https://www.meetup.com/wordpress-sf/events/234830378/,0,39,SF
2017-04-26T19:00:00-07:00,Ace Monster Toys,Box Bots Build Party,2h30m0s,https://www.meetup.com/Ace-Monster-Toys/events/239376440/,20,4,SF
2017-04-26T19:00:00-07:00,Ace Monster Toys,Welding 101,27h0m0s,https://www.meetup.com/Ace-Monster-Toys/events/238197637/,5,5,SF
2017-04-26T19:00:00-07:00,Berkeley DevOps And Site Reliability Engineer Meetup,Jenkins  Role-based authorization security - assessment ,2h0m0s,https://www.meetup.com/meetup-group-mxhYhytO/events/238995381/,0,10,SF
2017-04-26T20:00:00-07:00,"Big Data (native Hadoop) Ingest & Transform, San Ramon",[Repeat] Intro to Big Data AppHub: Kinesis to S3 & S3 to HDFS Sync App Templates,2h0m0s,https://www.meetup.com/Big-Data-Ingest-San-Ramon/events/239370044/,0,3,SF
2017-04-27T08:00:00-07:00,Stacki San Francisco,StackiFest 2017,9h0m0s,https://www.meetup.com/Stacki-San-Francisco/events/237507145/,0,5,SF
2017-04-27T08:00:00-07:00,Stacki San Jose,StackiFest 2017,9h0m0s,https://www.meetup.com/Stacki-San-Jose/events/237507213/,0,14,SF
2017-04-27T10:00:00-07:00,ArangoDB Online Meetup,GraphQL and ArangoDB,0s,https://www.meetup.com/online-ArangoDB-meetup/events/239157303/,0,78,SF
2017-04-27T13:00:00-07:00,Neo4j Online Meetup,Learning Chinese with Neo4j,1h0m0s,https://www.meetup.com/Neo4j-Online-Meetup/events/239292412/,0,69,SF
2017-04-27T18:00:00-07:00,On Top of The Cloud: Salesforce.com MeetUp,San Francisco Entertainment & Tech Mixer + Expert Panel at 715 Harrison 4/27,2h0m0s,https://www.meetup.com/SF-Salesforce/events/239392723/,0,48,SF
2017-04-27T18:00:00-07:00,SF LegalTech Meetup,Drinks after work!,0s,https://www.meetup.com/SF-Legaltech-Meetup/events/238974425/,0,21,SF
2017-04-27T18:00:00-07:00,Code Your Face Off,Work Like a Developer: Intro to Terminal & Git,0s,https://www.meetup.com/meetup-code-your-face-off/events/239217012/,0,5,SF
2017-04-27T18:30:00-07:00,Swift Language User Group (San Francisco),Dealing With Asynchrony in a Synchronous Swift World with Greg Heo,0s,https://www.meetup.com/swift-language/events/239281336/,0,121,SF
2017-04-27T18:30:00-07:00,Bay Area Spark Meetup,Bay Area Apache Spark Meetup @ Grammarly and Adobe in SF,2h30m0s,https://www.meetup.com/spark-users/events/238830244/,180,180,SF
2017-04-27T18:30:00-07:00,SF Video Technology,Monthly Video Meetup,0s,https://www.meetup.com/SF-Video-Technology/events/236633040/,50,49,SF
2017-04-27T19:00:00-07:00,Noisebridge Hackerspace,Laser Safety Training,1h30m0s,https://www.meetup.com/noisebridge/events/238527933/,6,6,SF
2017-04-28T12:30:00-07:00,San Francisco Entrepreneurs & Startups,Executive Presence SF: The Path from Expertise to Authority,2h0m0s,https://www.meetup.com/sfentrepreneur/events/239310273/,0,5,SF
2017-04-28T18:00:00-07:00,Learn Web Development @ Rithm,4th Friday Happy Hour,2h0m0s,https://www.meetup.com/rithmschool/events/239195362/,0,8,SF
2017-04-29T08:00:00-07:00,Women Who Code Silicon Valley,WWCode Connect Conference,0s,https://www.meetup.com/Women-Who-Code-Silicon-Valley/events/238832823/,0,40,SF
